model_name,accuracy,precision,recall,f1_score,avg_inference_time,max_inference_time,min_inference_time,batch_size,learning_rate,dropout_rate,epochs
MobileNetV2 Classification Model,0.52,0.5925925924828532,0.5517241378359097,0.5714285663329083,0.23547488451004028,0.36159467697143555,0.1586475372314453,32,0.001,0.7,15
ResNet50 Classification Model,0.43,0.42592592584705075,0.4693877550062474,0.4466019366726364,0.3277934789657593,0.4944941997528076,0.23236751556396484,32,0.001,0.7,15
EfficientNetB0 Classification Model,0.5,0.4736842104432133,0.5744680849841557,0.5192307641771451,0.34744518995285034,0.4423649311065674,0.27095890045166016,32,0.001,0.7,15
MobileNetV2 Recognition Model,0.43,0.39999999993333335,0.5333333332148148,0.4571428521578232,0.12720471620559692,0.17615938186645508,0.09974360466003418,32,0.001,0.7,15
MobileNetV2 Classification Model,0.45,0.4629629628772291,0.49019607833525564,0.4761904711038549,0.40612345933914185,0.5012061595916748,0.31589365005493164,32,0.01,0.5,15
ResNet50 Classification Model,0.48,0.5283018866927732,0.5090909089983471,0.5185185134242114,0.7956956028938293,1.1256492137908936,0.638145923614502,32,0.01,0.5,15
EfficientNetB0 Classification Model,0.59,0.5624999998828125,0.5744680849841557,0.5684210475124655,0.6702756285667419,0.9412472248077393,0.509965181350708,32,0.01,0.5,15
MobileNetV2 Recognition Model,0.47,0.3877551019616826,0.4523809522732426,0.417582412520227,0.2654666304588318,0.3191652297973633,0.2084493637084961,32,0.01,0.5,15
MobileNetV2 Classification Model,0.54,0.5957446807243096,0.5090909089983471,0.5490196027662438,0.5465824604034424,0.8019707202911377,0.29119420051574707,64,0.01,0.5,15
ResNet50 Classification Model,0.49,0.3962264150195799,0.52499999986875,0.45161289822638456,1.1506348848342896,1.9782843589782715,0.3229854106903076,64,0.01,0.5,15
EfficientNetB0 Classification Model,0.51,0.47619047607709747,0.4255319148030783,0.44943819716197453,0.6745375394821167,1.0573945045471191,0.29168057441711426,64,0.01,0.5,15
MobileNetV2 Recognition Model,0.5,0.566037735742257,0.5263157893813482,0.5454545403619836,0.14931869506835938,0.1725623607635498,0.12607502937316895,64,0.01,0.5,15
MobileNetV2 Classification Model,0.6,0.5624999998828125,0.5869565216115312,0.5744680799864192,0.5766475722193718,0.9819276332855225,1.311033010482788,0.6528222560882568,64,0.01,0.5,15
ResNet50 Classification Model,0.52,0.5357142856186224,0.5769230768121302,0.5555555504595336,0.5963426157832146,6.278513669967651,8.029959440231323,4.5270678997039795,64,0.01,0.5,15
EfficientNetB0 Classification Model,0.46,0.3673469387005414,0.4390243901368233,0.39999999495061733,0.6421817392110825,2.065777897834778,2.986726760864258,1.1448290348052979,64,0.01,0.5,15
MobileNetV2 Recognition Model,0.46,0.47169811311854754,0.49019607833525564,0.48076922567862423,0.8092024922370911,0.22362518310546875,0.2461097240447998,0.2011406421661377,64,0.01,0.5,15
MobileNetV2 Classification Model,0.5,0.5283018866927732,0.5283018866927732,0.5283018816927734,0.22900354862213135,0.3065018653869629,0.15728354454040527,32,0.0001,0.9,15
