model_name,accuracy,precision,recall,f1_score,avg_inference_time,max_inference_time,min_inference_time,learning_rate,dropout_rate,epochs
R-CNN Model,0.53,0.5535714284725766,0.584905660266999,0.5688073343489606,62.17866063117981,94.31736207008362,5.991546869277954,0.001,0.5,10
SSD Model,0.34,0.35897435888231427,0.25454545449917354,0.29787233550701675,6.139106094837189,7.896714687347412,1.0498499870300293,0.001,0.5,10
Recognition Model,0.45,0.3725490195347943,0.4523809522732426,0.4086021454965892,0.07573002576828003,0.12092256546020508,0.030567646026611328,0.001,0.5,10
R-CNN Model,0.49,0.4347826086011342,0.444444444345679,0.4395604344644367,42.60743314027786,61.2928466796875,5.708200216293335,0.001,0.5,10
SSD Model,0.54,0.566037735742257,0.566037735742257,0.566037730742257,9.472219705581665,20.80529499053955,1.0783882141113281,0.001,0.5,10
Recognition Model,0.54,0.4444444443621399,0.59999999985,0.5106382928746039,0.06446778774261475,0.08671355247497559,0.031182527542114258,0.001,0.5,10
R-CNN Model,0.52,0.5238095236848073,0.439999999912,0.47826086449905486,39.619392454624176,51.18993139266968,6.031020879745483,0.001,0.5,10
SSD Model,0.51,0.579999999884,0.5087719297353032,0.5420560696864355,15.27112603187561,23.50249981880188,2.3429505825042725,0.001,0.5,10
Recognition Model,0.59,0.5416666665538195,0.5777777776493827,0.5591397798311945,0.07648104429244995,0.14642858505249023,0.02399420738220215,0.001,0.5,10
R-CNN Model,0.54,0.5777777776493827,0.49056603764328943,0.5306122398229906,69.4884381890297,121.73587536811829,5.657657861709595,0.001,0.3,15
SSD Model,0.54,0.6111111109979424,0.5689655171432818,0.5892857091868623,6.0237560868263245,7.828275680541992,1.0258598327636719,0.001,0.3,15
Recognition Model,0.39,0.37037037030178327,0.4255319148030783,0.39603959890598955,0.07553821802139282,0.13244986534118652,0.023154258728027344,0.001,0.3,15
R-CNN Model,0.53,0.5961538460392012,0.543859649027393,0.5688073343556941,38.718577325344086,51.395023822784424,5.71544075012207,0.01,0.3,15
SSD Model,0.48,0.47169811311854754,0.5102040815285298,0.490196073342945,6.002261936664581,7.8008949756622314,1.0182433128356934,0.011,0.3,15
Recognition Model,0.55,0.46666666656296296,0.4999999998809524,0.48275861558462146,0.06540417671203613,0.09908127784729004,0.027012348175048828,0.01,0.3,15
R-CNN Model,0.53,0.5686274508688965,0.5370370369375858,0.5523809472798187,41.353040754795074,59.64041996002197,5.95003080368042,0.1,0.3,15
SSD Model,0.47,0.4642857142028061,0.530612244789671,0.49523809016598636,5.9740118980407715,7.813443899154663,1.0427734851837158,0.1,0.3,15
Recognition Model,0.48,0.49999999990384614,0.49999999990384614,0.4999999949038462,0.06969863176345825,0.12755489349365234,0.03100872039794922,0.1,0.3,15
R-CNN Model,0.5,0.49999999991379307,0.579999999884,0.5370370319650207,55.773550033569336,56.303993940353394,55.24310612678528,0.001,0.5,15
SSD Model,0.55,0.5283018866927732,0.5833333332118056,0.5544554404470152,8.181177973747253,8.479535102844238,7.8828208446502686,0.001,0.5,15
Recognition Model,0.5,0.42222222212839505,0.44186046501352083,0.431818176722624,0.10150396823883057,0.10637640953063965,0.09663152694702148,0.001,0.5,15
R-CNN Model,0.49,0.4545454544628099,0.5434782607514178,0.49504949989216745,53.58096659183502,56.6706817150116,50.49125146865845,0.001,0.7,15
SSD Model,0.46,0.46551724129904876,0.539999999892,0.4999999949348424,8.151082754135132,8.578713417053223,7.723452091217041,0.001,0.5,15
Recognition Model,0.5,0.4489795917451062,0.4888888887802469,0.4680851012924401,0.10145771503448486,0.12307190895080566,0.07984352111816406,0.001,0.7,15
R-CNN Model,0.46,0.4523809522732426,0.379999999924,0.41304347320888474,93.27738273143768,125.16673445701599,61.388031005859375,0.001,0.3,15
SSD Model,0.58,0.5272727271768595,0.6444444443012346,0.5799999949340001,8.544831275939941,9.002189636230469,8.087472915649414,0.001,0.5,15
Recognition Model,0.48,0.439999999912,0.47826086946124763,0.4583333282465278,0.12059342861175537,0.15366196632385254,0.0875248908996582,0.001,0.5,15
